Name,Year Published,Play Time,Users Rated
The Taverns of Tiefenthal,2019,60,6323
KLASK,2014,10,5667
Telestrations,2009,30,12846
Bruges,2013,60,10275
Sid Meier's Civilization: The Board Game,2010,240,14425
Star Wars: Outer Rim,2019,180,5686
Letters from Whitechapel,2011,60,13721
Tikal,1999,90,17918
Heaven & Ale,2017,90,6424
Tiny Epic Galaxies,2015,45,15720
Merchants & Marauders,2010,180,12724
Cryptid,2018,50,7503
The Resistance,2009,30,35929
Glass Road,2013,80,9027
Mission: Red Planet (Second Edition),2015,90,8893
Ghost Stories,2008,60,19412
Acquire,1964,90,18214
Star Wars: Armada,2015,120,4589
Dixit,2008,30,50684
Viscounts of the West Kingdom,2020,90,2757
Agricola: All Creatures Big and Small,2012,30,12323
Takenoko,2011,45,35214
Here I Stand,2006,360,3568
Neuroshima Hex! 3.0,2006,30,13294
Love Letter,2012,20,56013
Dune,2019,120,3181
Evolution: Climate,2016,60,6082
Survive: Escape from Atlantis!,1982,60,20470
Altiplano,2017,120,6908
Die Macher,1986,240,5228
Harry Potter: Hogwarts Battle,2016,60,11960
Bärenpark,2017,45,12028
Notre Dame,2007,75,12243
San Juan,2004,60,22239
51st State: Master Set,2016,90,5156
At the Gates of Loyang,2009,120,9766
Endeavor,2009,90,9088
In the Year of the Dragon,2007,100,10791
The Pillars of the Earth,2006,120,16327
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,120,4138
For Sale,1997,30,23898
Bruxelles 1893,2013,125,4723
Saint Petersburg,2004,60,14545
Claustrophobia,2009,45,6650
Blood Bowl: Team Manager - The Card Game,2011,120,10336
Clash of Cultures,2012,240,5185
Azul: Stained Glass of Sintra,2018,45,8824
Bunny Kingdom,2017,60,7627
Charterstone,2017,75,11747
Ticket to Ride: Märklin,2006,60,8717
Dune,1979,180,5491
King of Tokyo,2011,30,57621
Civilization,1980,360,7111
Arkham Horror (Third Edition),2018,180,4896
Space Hulk (Third Edition),2009,60,6707
Gùgōng,2018,90,6130
Mythic Battles: Pantheon,2017,90,2543
Nippon,2015,120,4196
Tiny Towns,2019,60,10174
San Juan (Second Edition),2014,60,5841
Gizmos,2018,50,7386
Codenames: Pictures,2016,15,17032
Advanced Squad Leader,1985,480,3490
Lost Cities,1999,30,37280
Calico,2020,45,2986
Mice and Mystics,2012,90,16743
Sword & Sorcery,2017,90,3632
Too Many Bones: Undertow,2018,180,1651
Pandemic Legacy: Season 0,2020,60,1536
The Manhattan Project,2012,120,9105
Macao,2009,100,6962
Fresco,2010,60,11842
Blood Bowl: Living Rulebook,2004,120,3354
Arkham Horror,2005,240,36786
Innovation,2010,60,14865
The Godfather: Corleone's Empire,2017,90,5727
Dice Forge,2017,45,14853
Maria,2009,210,2775
London (Second Edition),2017,90,4458
Santa Maria,2017,90,5220
A Few Acres of Snow,2011,120,7427
Stockpile,2015,45,5525
Abyss,2014,60,10215
Monikers,2015,60,3491
Firefly: The Game,2013,240,10524
Flash Point: Fire Rescue,2011,45,20947
Thunderstone Quest,2018,90,3159
Lancaster,2011,60,6675
Glen More,2010,70,8686
Newton,2018,90,4335
Quadropolis,2016,60,11050
Risk Legacy,2011,60,7555
Heroscape Master Set: Rise of the Valkyrie,2004,90,7803
Pandemic: Fall of Rome,2018,60,3858
Millennium Blades,2016,120,3895
Kingsburg,2007,90,18339
The Great Zimbabwe,2012,150,3192
Carpe Diem,2018,75,4687
Downforce,2017,40,7914
Star Realms: Frontiers,2018,45,2643
Pandemic: The Cure,2014,30,9398
BattleLore,2006,60,9091
Amerigo,2013,90,5501
Chinatown,1999,60,8468
Nusfjord,2017,100,4124
Spartacus: A Game of Blood and Treachery,2012,180,7172
Lord of the Rings: The Confrontation,2005,30,5656
Sheriff of Nottingham,2014,60,29603
Biblios,2007,30,15008
Amun-Re,2003,90,8564
BattleCON: Devastation of Indines,2013,45,2919
Twice as Clever!,2019,30,4915
Awkward Guests,2016,75,3648
Commands & Colors: Napoleonics,2010,90,2644
Pandemic: Reign of Cthulhu,2016,40,7890
1775: Rebellion,2013,120,3712
Skull,2011,45,14213
Descent: Journeys in the Dark,2005,240,11319
Blood Bowl (Third Edition),1994,180,5267
Shadows of Brimstone: City of the Ancients,2014,120,3401
Forbidden Desert,2013,45,25599
Raptor,2015,30,7897
Point Salad,2019,30,8042
Mansions of Madness,2011,180,12747
Madeira,2013,150,3910
Mystic Vale,2016,45,8975
PitchCar,1995,30,9645
Deus,2014,90,7293
Camel Up (Second Edition),2018,45,3744
London,2010,90,6281
Colt Express,2014,40,24739
Archipelago,2012,240,7373
Hanabi,2010,25,38927
Schotten Totten,1999,20,7624
Catan,1995,120,101510
Legends of Andor,2012,90,15017
First Class: All Aboard the Orient Express!,2016,80,4843
Dice Throne: Season Two - Battle Chest,2018,40,2237
Sentinels of the Multiverse,2011,60,14766
Freedom: The Underground Railroad,2012,120,3875
Roads & Boats,1999,240,3079
Small World Underground,2011,90,9799
Citadels,2000,60,48360
The Grizzled,2015,30,12228
Shadows over Camelot,2005,80,25447
Euphoria: Build a Better Dystopia,2013,60,9358
Egizia,2009,90,5134
Imhotep,2016,40,11784
Lords of Vegas,2010,90,6546
Ginkgopolis,2012,45,4991
Friday,2011,25,16501
One Night Ultimate Werewolf,2014,10,21482
Junk Art,2016,30,5449
Time's Up! Title Recall!,2008,60,3122
Fire in the Lake,2014,180,2258
